url,reason,opened_at,resolved_at
https://www.cabinezero15.com.br/cidades/louveira.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/mairinque.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/mombuca.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/monte-mor.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/osasco.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/pereiras.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/piedade.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/pilar-do-sul.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/pirapora-do-bom-jesus.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/porangaba.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/porto-feliz.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/quadra.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/rafard.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/rio-das-pedras.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/saltinho.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/salto-de-pirapora.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/salto.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/santana-de-parnaiba.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sao-miguel-arcanjo.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sao-paulo.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sao-roque.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sarapui.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sorocaba.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/sumare.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
https://www.cabinezero15.com.br/cidades/taboao-da-serra.html,HTTP 403,2026-09-11T03:26:46,2026-09-11T08:15:12
